timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-26T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-26T08:16:00.000Z";"2024-05-26T21:33:00.000Z";"2783";357902.4147675024;359152.5841231521;351500.2405253814;354327.5986363994;80755242805.36288;6975558053648.097;"2024-05-26T23:59:59.999Z"
"2024-05-25T00:00:00.000Z";"2024-05-25T23:59:59.999Z";"2024-05-25T11:29:00.000Z";"2024-05-25T00:59:00.000Z";"2783";354085.4598094929;359523.3112455314;354028.087472753;357910.9793166257;79950908993.18124;7051792322905.104;"2024-05-25T23:59:59.999Z"
"2024-05-24T00:00:00.000Z";"2024-05-24T23:59:59.999Z";"2024-05-24T20:00:00.000Z";"2024-05-24T08:28:00.000Z";"2783";349463.0590704206;357848.1536019058;342753.6435526903;354081.1998059487;150208471521.96506;6946178617266.828;"2024-05-24T23:59:59.999Z"
"2024-05-23T00:00:00.000Z";"2024-05-23T23:59:59.999Z";"2024-05-23T12:10:00.000Z";"2024-05-23T20:01:00.000Z";"2783";356154.4255239454;360894.6548936532;342083.3009729288;349470.4300104572;215871685814.20032;6895935901992.468;"2024-05-23T23:59:59.999Z"
"2024-05-22T00:00:00.000Z";"2024-05-22T23:59:59.999Z";"2024-05-22T16:16:00.000Z";"2024-05-22T21:10:00.000Z";"2783";359331.2914502607;363295.3457140044;355297.190693585;356159.7639606908;168060644701.18826;6977191241502.619;"2024-05-22T23:59:59.999Z"
"2024-05-21T00:00:00.000Z";"2024-05-21T23:59:59.999Z";"2024-05-21T00:20:00.000Z";"2024-05-21T19:35:00.000Z";"2783";364681.1173331924;367257.9134396169;353919.5159787042;359330.4915413464;239564424577.43097;7053270015307.743;"2024-05-21T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-20T23:59:59.999Z";"2024-05-20T23:38:00.000Z";"2024-05-20T01:34:00.000Z";"2783";338253.5734292742;364895.0121059215;337206.2234193619;364714.457173908;223791821452.01816;7183218216730.152;"2024-05-20T23:59:59.999Z"
"2024-05-19T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-19T10:38:00.000Z";"2024-05-19T19:51:00.000Z";"2783";341691.3578561336;345552.3175513421;336406.4040033777;338251.6617137471;98258927977.24461;6665240742718.263;"2024-05-19T23:59:59.999Z"
"2024-05-18T00:00:00.000Z";"2024-05-18T23:59:59.999Z";"2024-05-18T11:09:00.000Z";"2024-05-18T15:14:00.000Z";"2783";342352.8875101475;343985.3665870117;340290.4843390409;341706.0301911546;85311162473.7975;6731784407379.352;"2024-05-18T23:59:59.999Z"
"2024-05-17T00:00:00.000Z";"2024-05-17T23:59:59.999Z";"2024-05-17T15:34:00.000Z";"2024-05-17T01:28:00.000Z";"2783";334643.0853599215;344866.2488654139;334081.6216254552;342279.7058669781;143803265986.79092;6777822052144.311;"2024-05-17T23:59:59.999Z"
"2024-05-16T00:00:00.000Z";"2024-05-16T23:59:59.999Z";"2024-05-16T12:31:00.000Z";"2024-05-16T17:39:00.000Z";"2783";340231.7597917698;342574.9961046514;331555.4357953187;334651.0533233408;162130912805.96405;6598643842487.047;"2024-05-16T23:59:59.999Z"
"2024-05-15T00:00:00.000Z";"2024-05-15T23:59:59.999Z";"2024-05-15T23:44:00.000Z";"2024-05-15T00:49:00.000Z";"2783";315716.5693225761;341250.2460161509;314569.7996720948;340290.1954346301;204215973436.69177;6694331491926.729;"2024-05-15T23:59:59.999Z"
"2024-05-14T00:00:00.000Z";"2024-05-14T23:59:59.999Z";"2024-05-14T00:38:00.000Z";"2024-05-14T14:20:00.000Z";"2783";324297.5205492606;325271.451267967;313644.3832130958;315716.5711621661;145319960112.627;6251353063778.591;"2024-05-14T23:59:59.999Z"
"2024-05-13T00:00:00.000Z";"2024-05-13T23:59:59.999Z";"2024-05-13T16:29:00.000Z";"2024-05-13T03:22:00.000Z";"2783";316257.0368941828;327210.1894336053;312756.4212010766;324300.9926448838;143530917932.20078;6376569768399.382;"2024-05-13T23:59:59.999Z"
"2024-05-12T00:00:00.000Z";"2024-05-12T23:59:59.999Z";"2024-05-12T16:22:00.000Z";"2024-05-12T07:35:00.000Z";"2783";313499.9312441546;318783.8610993482;312670.2042874516;316242.5040717533;71166209058.15735;6241975051707.754;"2024-05-12T23:59:59.999Z"
"2024-05-11T00:00:00.000Z";"2024-05-11T23:59:59.999Z";"2024-05-11T15:19:00.000Z";"2024-05-11T11:18:00.000Z";"2783";313499.183413259;316891.3095604455;311948.3705301903;313501.0016621699;71381833239.1138;6175025701712.286;"2024-05-11T23:59:59.999Z"
"2024-05-10T00:00:00.000Z";"2024-05-10T23:59:59.999Z";"2024-05-10T12:05:00.000Z";"2024-05-10T17:52:00.000Z";"2783";324248.7086557181;326262.1840341921;310370.2479989169;313496.1913536092;142981418524.08612;6157498513112.075;"2024-05-10T23:59:59.999Z"
"2024-05-09T00:00:00.000Z";"2024-05-09T23:59:59.999Z";"2024-05-09T22:53:00.000Z";"2024-05-09T11:05:00.000Z";"2783";311426.4959821684;326028.0744753462;308765.4167917757;324221.8054884379;129542219235.83276;6320741106974.859;"2024-05-09T23:59:59.999Z"
"2024-05-08T00:00:00.000Z";"2024-05-08T23:59:59.999Z";"2024-05-08T04:22:00.000Z";"2024-05-08T23:24:00.000Z";"2783";316325.6942003412;319622.8844882622;309797.6142578282;311403.7901706877;132392256392.25778;6116160033674.509;"2024-05-08T23:59:59.999Z"
"2024-05-07T00:00:00.000Z";"2024-05-07T23:59:59.999Z";"2024-05-07T08:38:00.000Z";"2024-05-07T23:58:00.000Z";"2783";320658.4009470098;326871.7146020949;316088.8871478863;316336.7361430312;131642541974.08331;6232459784053.529;"2024-05-07T23:59:59.999Z"
"2024-05-06T00:00:00.000Z";"2024-05-06T23:59:59.999Z";"2024-05-06T08:46:00.000Z";"2024-05-06T19:17:00.000Z";"2783";324827.8776401944;332235.9879793931;318104.605093023;320654.2728729065;145567344827.2211;6309987647779.671;"2024-05-06T23:59:59.999Z"
"2024-05-05T00:00:00.000Z";"2024-05-05T23:59:59.999Z";"2024-05-05T15:58:00.000Z";"2024-05-05T01:37:00.000Z";"2783";324094.4779238372;329294.5708506068;319340.7921009902;324791.4540270585;92807295975.69589;6397456839165.231;"2024-05-05T23:59:59.999Z"
"2024-05-04T00:00:00.000Z";"2024-05-04T23:59:59.999Z";"2024-05-04T11:02:00.000Z";"2024-05-04T02:37:00.000Z";"2783";319014.7524539362;327150.6766146619;317535.2188373435;324089.4963789437;104597374613.60844;6382751002246.725;"2024-05-04T23:59:59.999Z"
