timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-27T00:00:00.000Z";"2024-05-27T23:59:59.999Z";"2024-05-27T17:17:00.000Z";"2024-05-27T00:01:00.000Z";"2783";844.7365549729;888.6648130342;844.6565977269;879.4240565176;14197496329.50527;395171034932.36646;"2024-05-27T23:59:59.999Z"
"2024-05-26T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-26T00:00:00.000Z";"2024-05-26T21:34:00.000Z";"2783";870.350972752;870.3593734619;831.3442903021;844.7365549729;13144744426.964073;379325338540.8362;"2024-05-26T23:59:59.999Z"
"2024-05-25T00:00:00.000Z";"2024-05-25T23:59:59.999Z";"2024-05-25T11:13:00.000Z";"2024-05-25T01:04:00.000Z";"2783";867.0234994733;880.2415910962;858.3225140199;870.350972752;9689375655.007244;391135045032.41254;"2024-05-25T23:59:59.999Z"
"2024-05-24T00:00:00.000Z";"2024-05-24T23:59:59.999Z";"2024-05-24T00:01:00.000Z";"2024-05-24T08:28:00.000Z";"2783";905.3764323505;905.6115623843;837.8961686006;867.0234994733;20647862721.02618;387850010023.20905;"2024-05-24T23:59:59.999Z"
"2024-05-23T00:00:00.000Z";"2024-05-23T23:59:59.999Z";"2024-05-23T21:46:00.000Z";"2024-05-23T20:10:00.000Z";"2783";911.3048704201;926.716132146;862.7651387772;905.3764323505;26367188413.00756;407416799729.8225;"2024-05-23T23:59:59.999Z"
"2024-05-22T00:00:00.000Z";"2024-05-22T23:59:59.999Z";"2024-05-22T16:13:00.000Z";"2024-05-22T04:47:00.000Z";"2783";912.5578340904;941.8282382657;898.8700038136;911.2928611247;19641878485.699524;406989109368.2995;"2024-05-22T23:59:59.999Z"
"2024-05-21T00:00:00.000Z";"2024-05-21T23:59:59.999Z";"2024-05-21T00:28:00.000Z";"2024-05-21T19:44:00.000Z";"2783";952.0888946294;962.1856285389;893.5282552359;912.5425067002;23319470096.462337;408364949033.71643;"2024-05-21T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-20T23:59:59.999Z";"2024-05-20T20:01:00.000Z";"2024-05-20T01:38:00.000Z";"2783";868.0612288653;957.0581368637;857.3792152136;952.1124918617;23664239024.00916;427510198137.9441;"2024-05-20T23:59:59.999Z"
"2024-05-19T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-19T05:17:00.000Z";"2024-05-19T15:17:00.000Z";"2783";880.7436334178;894.2714469391;850.6569552191;868.0612288653;11740990667.724285;389767677781.22003;"2024-05-19T23:59:59.999Z"
"2024-05-18T00:00:00.000Z";"2024-05-18T23:59:59.999Z";"2024-05-18T10:13:00.000Z";"2024-05-18T00:34:00.000Z";"2783";865.402616624;897.2819534574;862.3525814983;880.7432546766;12657908371.906929;395386918936.16815;"2024-05-18T23:59:59.999Z"
"2024-05-17T00:00:00.000Z";"2024-05-17T23:59:59.999Z";"2024-05-17T16:23:00.000Z";"2024-05-17T00:00:00.000Z";"2783";816.2833063744;877.6451614683;816.2833063744;865.402616624;17295392434.519238;390325035666.8191;"2024-05-17T23:59:59.999Z"
"2024-05-16T00:00:00.000Z";"2024-05-16T23:59:59.999Z";"2024-05-16T10:01:00.000Z";"2024-05-16T17:31:00.000Z";"2783";812.309995596;844.0590932504;804.525748603;816.2992180195;17963981431.091095;366681056839.78937;"2024-05-16T23:59:59.999Z"
